TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
CDIS,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE CONSUMER DIS UCITS ETF,IE00BKWQ0C77,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
CSTP,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE CONSUMER STAPLES ETF,IE00BKWQ0D84,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
EMH5,SSGA SPDR ETFS EUROPE II PLC,SPDR ICE BOFA 0-5 YR US GOV BOND UCITS,IE00BP46NG52,ETFS,ETFs,Financials,Financial Services ,41960,Ireland,USD,MAIN MARKET,,EUET,UETY
ENGY,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUR ENGY 35/20 CAP UCITS ETF,IE00BKWQ0F09,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
ERO,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE UCITS ETF,IE00BKWQ0Q14,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,GBP,MAIN MARKET,,EUET,UETY
EVAL,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE VALUE ETF,IE00BSPLC306,ETFS,ETFs,Financials,Financial Services ,42055,Ireland,GBP,MAIN MARKET,,EUET,UETY
FNCL,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE FINANCIALS UCITS ETF,IE00BKWQ0G16,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
GCVB,SSGA SPDR ETFS EUROPE II PLC,SPDR REFINITIV GLOB CONV BOND UCITS ETF,IE00BNH72088,ETFS,ETFs,Financials,Financial Services ,41928,Ireland,USD,MAIN MARKET,,EUET,UETY
GIN,SSGA SPDR ETFS EUROPE II PLC,SPDR MORNINGSTAR GLOB INFRASTRUCTURE ETF,IE00BQWJFQ70,ETFS,ETFs,Financials,Financial Services ,42110,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
GLCB,SSGA SPDR ETFS EUROPE II PLC,SPDR REFINITIV GLOB CONV BOND UCITS ETF,IE00BNH72088,ETFS,ETFs,Financials,Financial Services ,43244,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
GXLC,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US COMM SERV UCITS ETF,IE00BFWFPX50,ETFS,ETFs,Financials,Financial Services ,43329,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
HLTH,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE HEALTH CARE UCITS ETF,IE00BKWQ0H23,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
ITEC,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE TECHNOLOGY UCITS ETF,IE00BKWQ0K51,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
LOWE,SSGA SPDR ETFS EUROPE II PLC,SPDR EURO STOXX LOW VOLATILITY UCITS ETF,IE00BFTWP510,ETFS,ETFs,Financials,Financial Services ,41724,Ireland,GBP,MAIN MARKET,,EUET,UETY
MAGI,SSGA SPDR ETFS EUROPE II PLC,SPDR MORNINGSTAR GLOB INFRASTRUCTURE ETF,IE00BQWJFQ70,ETFS,ETFs,Financials,Financial Services ,42110,Ireland,USD,MAIN MARKET,,EUET,UETY
MTRL,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE MATERIALS UCITS ETF,IE00BKWQ0L68,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
NDUS,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE INDUSTRIALS UCITS ETF,IE00BKWQ0J47,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
R2SC,SSGA SPDR ETFS EUROPE II PLC,SPDR RUSSELL 2000 US SMALL CAP ETF,IE00BJ38QD84,ETFS,ETFs,Financials,Financial Services ,41822,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
