TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
SPA,1SPATIAL PLC,ORD 10P,GB00BFZ45C84,SHRS,Shares,Technology,Technology,43333,United Kingdom,GBX,AIM,,ASX1,AIMP
III,3I GROUP PLC,ORD 73 19/22P,GB00B1YW4409,SHRS,Shares,Financials,Financial Services ,39279,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET1,FS10
3IN,3I INFRASTRUCTURE PLC,ORD NPV,JE00BF5FX167,SHRS,Shares,Financials,Financial Services ,43174,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
4BB,4BASEBIO UK SOCIETAS,ORD EUR1.00,GB00BLD8ZL39,SHRS,Shares,Health Care ,Health Care  ,44244,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DDDD,4D PHARMA PLC,ORD 0.25P,GB00BJL5BR07,SHRS,Shares,Health Care ,Health Care  ,41688,United Kingdom,GBX,AIM,,AMSM,ASM6
FOUR,4IMPRINT GROUP PLC,ORD 38 6/13P,GB0006640972,SHRS,Shares,Consumer Discretionary,Media,39069,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
SIXH,600 GROUP PLC,ORD 1P,GB0008121641,SHRS,Shares,Basic Materials,Basic Resources,35171,United Kingdom,GBX,AIM,,ASQ1,AMQ1
7DIG,7DIGITAL GROUP PLC,ORD 0.01P,GB00BMH46555,SHRS,Shares,Consumer Discretionary,Retail ,41800,United Kingdom,GBX,AIM,,ASX1,AIMP
888,888 HOLDINGS PLC,ORD 0.5P,GI000A0F6407,SHRS,Shares,Consumer Discretionary,Travel and Leisure,39001,Gibraltar,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
88E,88 ENERGY LIMITED,ORD NPV (DI),AU00000088E2,SHRS,Shares,Energy,Energy,42069,Australia,GBX,AIM,,ASQ1,AMQ1
ABBA,ABBEY PLC,ORD EUR 0.32 (ASSD GALLAGHER HLDGS CASH),IE00BL96WS76,SHRS,Shares,,,44181,Ireland,GBX,AIM,,ASXN,AIMN
ABC,ABCAM PLC,ORD 0.2P,GB00B6774699,SHRS,Shares,Health Care ,Health Care  ,40497,United Kingdom,GBX,AIM,,AMSM,AE50
ABDP,AB DYNAMICS PLC,ORD 1P,GB00B9GQVG73,SHRS,Shares,Industrials,Industrial Goods and Services,41416,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AAIF,ABERDEEN ASIAN INCOME FUND LTD,ORD NPV,GB00B0P6J834,SHRS,Shares,Financials,Financial Services ,39069,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ADIG,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,ORD 25P,GB0001297562,SHRS,Shares,Financials,Financial Services ,37925,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
AEMC,ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,ORD 1P,GG00B45L2K95,SHRS,Shares,Financials,Financial Services ,40127,Guernsey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
AJIT,ABERDEEN JAPAN INVESTMENT TRUST PLC,ORD 10P,GB0003920757,SHRS,Shares,Financials,Financial Services ,39031,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ALAI,ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,ORD NPV,JE00B44ZTP62,SHRS,Shares,Financials,Financial Services ,40406,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ABD,ABERDEEN NEW DAWN INVESTMENT TRUST PLC,ORD 5P,GB00BBM56V29,SHRS,Shares,Financials,Financial Services ,41520,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ANII,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,ORD 25P,GB0006048770,SHRS,Shares,Financials,Financial Services ,38343,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ANW,ABERDEEN NEW THAI INVESTMENT TRUST PLC,ORD 25P,GB0000059971,SHRS,Shares,Financials,Financial Services ,38524,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ASCI,ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,ORD 50P,GB0008063728,SHRS,Shares,Financials,Financial Services ,36420,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AAS,ABERDEEN STANDARD ASIA FOCUS PLC,ORD 25P,GB0000100767,SHRS,Shares,Financials,Financial Services ,39069,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASEI,ABERDEEN STANDARD EQUITY INCOME TRUST PLC,ORD 25P,GB0006039597,SHRS,Shares,Financials,Financial Services ,38715,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASLI,ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,ORD 1P,GB00BD9PXH49,SHRS,Shares,Real Estate,Real Estate ,43084,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,ORD 1P,GB0000066554,SHRS,Shares,Financials,Financial Services ,37925,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
ASIT,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,ORD 1P,GB00BYPBD394,SHRS,Shares,Financials,Financial Services ,42919,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASIZ,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,ZDP 1P,GB00BYPBD519,SHRS,Shares,Financials,Financial Services ,42919,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
80JT,"AB ""IGNITIS GRUPE""",GDR (EACH REPR. 1 ORD) (144A),US66981G1085,DPRS,Depositary receipts,Utilities,Utilities,44111,Lithuania,EUR,MAIN MARKET,Standard GDRs,MISC,INTM
IGN,"AB ""IGNITIS GRUPE""",GDR (EACH REPR. 1 ORD) (REG S),US66981G2075,DPRS,Depositary receipts,Utilities,Utilities,44111,Lithuania,EUR,MAIN MARKET,Standard GDRs,IOBE,LLHE
ABDX,ABINGDON HEALTH PLC,ORD 0.025P,GB00BLF79J41,SHRS,Shares,Health Care ,Health Care  ,44180,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ACC,ACCESS INTELLIGENCE PLC,ORD 5P,GB00BGQVB052,SHRS,Shares,Technology,Technology,43406,United Kingdom,GBX,AIM,,ASX1,AIMP
ACSO,ACCESSO TECHNOLOGY GROUP PLC,ORD 1P,GB0001771426,SHRS,Shares,Technology,Technology,37370,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ACRL,ACCROL GROUP HOLDINGS PLC,ORD GBP0.001,GB00BZ6VT592,SHRS,Shares,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",42531,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AXS,ACCSYS TECHNOLOGIES PLC,ORD EUR0.05,GB00BQQFX454,SHRS,Shares,Industrials,Construction and Materials,41894,United Kingdom,GBX,AIM,,AMSM,ASM6
ACIA,ACER INCORPORATED,GDR (REPR 5 SHS COM STK TWD10)(144A),US0044341065,DPRS,Depositary receipts,Technology,Technology,37342,Taiwan,USD,PROFESSIONAL SECURITIES MARKET,Standard GDRs,MISC,INPE
ACID,ACER INCORPORATED,GDR (REPR 5 SHS COM STK TWD10)(REG S),US0044342055,DPRS,Depositary receipts,Technology,Technology,38257,Taiwan,USD,PROFESSIONAL SECURITIES MARKET,Standard GDRs,IOBE,IPHE
AIF,ACORN INCOME FUND LD,ORD 1P,GB0004829437,SHRS,Shares,Financials,Financial Services ,36416,Guernsey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AIFZ,ACORN INCOME FUND LD,RED ZDP 1P,GG00BYMJ7X48,SHRS,Shares,Financials,Financial Services ,42767,Guernsey,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
AEG,ACTIVE ENERGY GROUP PLC,ORD 0.01P,GB00B1YMN108,SHRS,Shares,Energy,Energy,39265,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AOM,ACTIVEOPS PLC,ORD 0.1P,GB00BLH37Y17,SHRS,Shares,Technology,Technology,44284,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ACT,ACTUAL EXPERIENCE PLC,ORD 0.2P,GB00BJ05QC14,SHRS,Shares,Technology,Technology,41683,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ADA,ADAMS PLC,ORD GBP0.01,IM00B986V543,SHRS,Shares,Real Estate,Real Estate ,43325,Isle of Man,GBX,AIM,,ASQ1,AMQ1
ADT,ADEPT TECHNOLOGY GROUP PLC,ORD 10P,GB00B0WY3Y47,SHRS,Shares,Telecommunications,Telecommunications,38979,United Kingdom,GBX,AIM,,ASX1,AIMP
ADES,ADES INTERNATIONAL HOLDING PLC,ORD USD1.00 (DI),AEDFXA1EN018,SHRS,Shares,Energy,Energy,42864,United Arab Emirates,USD,MAIN MARKET,Standard Shares,SSMU,SMEV
ADME,ADM ENERGY PLC,ORD 1P,GB00BJFDXW97,SHRS,Shares,Energy,Energy,43627,United Kingdom,GBX,AIM,,ASX1,AIMP
ADM,ADMIRAL GROUP PLC,ORD 0.1P,GB00B02J6398,SHRS,Shares,Financials,Insurance,38341,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
ADT1,ADRIATIC METALS PLC,ORD 1.3355P,GB00BL0L5G04,SHRS,Shares,Basic Materials,Basic Resources,43811,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSMU,SMEU
ADVT,ADVANCEDADVT LIMITED,ORD NPV (DI),VGG0103J1075,SHRS,Shares,Financials,Financial Services ,44293,British Virgin Islands,GBX,MAIN MARKET,Standard Shares,SSX3,SQSL
AMS,ADVANCED MEDICAL SOLUTIONS GROUP PLC,ORD 5P,GB0004536594,SHRS,Shares,Health Care ,Health Care  ,37376,United Kingdom,GBX,AIM,,AMSM,AS50
AVO,ADVANCED ONCOTHERAPY PLC,ORD 25P,GB00BD6SX109,SHRS,Shares,Health Care ,Health Care  ,42552,United Kingdom,GBX,AIM,,ASX1,AIMP
ADV,ADVANCE ENERGY PLC,ORD NPV,IM00BKSCP798,SHRS,Shares,Energy,Energy,44305,Isle of Man,GBX,AIM,,ASQ1,AMQ1
AFN,ADVFN PLC,ORD 0.2P,GB00BPT24C10,SHRS,Shares,Financials,Financial Services ,41872,United Kingdom,GBX,AIM,,ASX1,AIMP
87FZ,AECI LD,5 1/2% CUM PRF R2,ZAE000000238,SHRS,Shares,Basic Materials,Chemicals,37435,South Africa,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
AEO,AEOREMA COMMUNICATIONS PLC,ORD 12.5P,GB00B4QHH456,SHRS,Shares,Consumer Discretionary,Media,39993,United Kingdom,GBX,AIM,,ASX1,AIMP
AEWU,AEW UK REIT PLC,ORD GBP0.01,GB00BWD24154,SHRS,Shares,Real Estate,Real Estate ,42136,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
AEXG,AEX GOLD INC.,COM SHS NPV (DI),CA00108V1022,SHRS,Shares,Basic Materials,Basic Resources,44043,Canada,GBX,AIM,,ASQ1,AMQ1
AFRK,AFARAK GROUP PLC,ORD NPV (DI),FI0009800098,SHRS,Shares,Basic Materials,Basic Resources,40385,Finland,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
AFC,AFC ENERGY PLC,ORD 0.1P,GB00B18S7B29,SHRS,Shares,Energy,Energy,39196,United Kingdom,GBX,AIM,,AMSM,AS50
AFHP,AFH FINANCIAL GROUP PLC,ORD 10P,GB00B4W5WQ08,SHRS,Shares,Financials,Financial Services ,41820,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AOF,AFRICA OPPORTUNITY FUND LIMITED,ORD USD0.01,KYG012921386,SHRS,Shares,Financials,Financial Services ,44005,Cayman Islands,USD,MAIN MARKET - SFS,,SFM3,SFNC
ATM,AFRITIN MINING LIMITED,ORD NPV,GG00BD95V148,SHRS,Shares,Basic Materials,Basic Resources,43048,Guernsey,GBX,AIM,,ASQ1,AMQ1
AGK,AGGREKO PLC,ORD 4 329/395P,GB00BK1PTB77,SHRS,Shares,Industrials,Industrial Goods and Services,41787,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AGTA,AGRITERRA LD,ORD 10P,GG00BDG13C09,SHRS,Shares,Consumer Staples ,"Food, Beverage and Tobacco ",43070,Guernsey,GBX,AIM,,AMSM,ASM8
ANIC,AGRONOMICS LIMITED ,ORD 0.0001P,IM00B6QH1J21,SHRS,Shares,Health Care ,Health Care  ,40801,Isle of Man,GBX,AIM,,ASQ1,AMQ1
AIBG,AIB GROUP PLC,ORD EUR0.625 (CDI),IE00BF0L3536,SHRS,Shares,Financials,Banks,43080,Ireland,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON5
AIQ,AIQ LIMITED,ORD GBP0.01 (DI),KYG0180A1022,SHRS,Shares,Financials,Financial Services ,43109,Cayman Islands,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
AIRC,AIR CHINA LD,H SHS CNY1,CNE1000001S0,SHRS,Shares,Consumer Discretionary,Travel and Leisure,39372,China,GBX,MAIN MARKET,Standard Shares,SSX4,SXSN
AIEA,AIREA PLC,ORD 25P,GB0008123027,SHRS,Shares,Consumer Discretionary,Consumer Products and Services,38707,United Kingdom,GBX,AIM,,ASX1,AIMP
AIR,AIR PARTNER PLC,ORD 1P,GB00BD736828,SHRS,Shares,Consumer Discretionary,Travel and Leisure,42766,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
AAF,AIRTEL AFRICA PLC,ORD USD0.50,GB00BKDRYJ47,SHRS,Shares,Telecommunications,Telecommunications,43649,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
AJB,AJ BELL PLC,ORD GBP0.000125,GB00BFZNLB60,SHRS,Shares,Financials,Financial Services ,43441,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
ALBA,ALBA MINERAL RESOURCES PLC,ORD 0.01P,GB00B06KBB18,SHRS,Shares,Basic Materials,Basic Resources,38446,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AADV,ALBION DEVELOPMENT VCT PLC,ORD 1P,GB0004832472,SHRS,Shares,Financials,Financial Services ,36187,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AAEV,ALBION ENTERPRISE VCT PLC,ORD 1P,GB00B1G3LR35,SHRS,Shares,Financials,Financial Services ,39182,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AATG,ALBION TECHNOLOGY & GENERAL VCT PLC,ORD 1P,GB0005581672,SHRS,Shares,Financials,Financial Services ,36908,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AAVC,ALBION VENTURE CAPITAL TST PLC,ORD 1P,GB0002039625,SHRS,Shares,Financials,Financial Services ,36417,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
32UA,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.,GDR (EACH REPR 10 ORDS) (144A),US0150961003,DPRS,Depositary receipts,Energy,Energy,43391,Egypt,USD,ADMISSION TO TRADING ONLY,,MISC,INAD
AMOC,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.,GDR (EACH REPR 10 ORDS) (REG S),US0150962092,DPRS,Depositary receipts,Energy,Energy,43391,Egypt,USD,ADMISSION TO TRADING ONLY,,IOBU,INLN
ALFA,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,ORD 0.1P,GB00BDHXPG30,SHRS,Shares,Technology,Technology,42881,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
UFO,ALIEN METALS LIMITED,COM SHS NPV (DI),VGG017351021,SHRS,Shares,Basic Materials,Basic Resources,43396,British Virgin Islands,GBX,AIM,,ASX1,AIMP
ALNA,ALINA HOLDINGS PLC,ORD 1P,GB00B1VS7G47,SHRS,Shares,Real Estate,Real Estate ,39251,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSMU,SMEW
AAA,ALL ACTIVE ASSET CAPITAL LIMITED,ORD NPV (DI),VGG017801082,SHRS,Shares,Financials,Financial Services ,41396,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AGY,ALLERGY THERAPEUTICS PLC,ORD 0.1P,GB00B02LCQ05,SHRS,Shares,Health Care ,Health Care  ,38271,United Kingdom,GBX,AIM,,ASQ1,AMQ1
APH,ALLIANCE PHARMA PLC,ORD 1P,GB0031030819,SHRS,Shares,Health Care ,Health Care  ,38435,United Kingdom,GBX,AIM,,AMSM,AS50
ATST,ALLIANCE TRUST PLC,ORD 2.5P,GB00B11V7W98,SHRS,Shares,Financials,Financial Services ,38889,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
ATT,ALLIANZ TECHNOLOGY TRUST PLC,ORD 25P,GB0003390720,SHRS,Shares,Financials,Financial Services ,39203,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
ALM,ALLIED MINDS PLC,ORD 1P,GB00BLRLH124,SHRS,Shares,Financials,Financial Services ,41810,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC7
AFM,ALPHA FINANCIAL MARKETS CONSULTING PLC,ORD 0.075P,GB00BF16C058,SHRS,Shares,Industrials,Industrial Goods and Services,43019,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AFX,ALPHA FX GROUP PLC,ORD 0.2P,GB00BF1TM596,SHRS,Shares,Financials,Financial Services ,42832,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ALGW,ALPHA GROWTH PLC,ORD GBP0.001,GB00BYWKBC49,SHRS,Shares,Financials,Financial Services ,43089,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
ARTL,ALPHA REAL TRUST LIMITED,ORD NPV,GB00B13VDP26,SHRS,Shares,Real Estate,Real Estate ,39072,Guernsey,GBX,MAIN MARKET - SFS,,SFM2,SFQQ
AIRE,ALTERNATIVE INCOME REIT PLC,ORD GBP0.01,GB00BDVK7088,SHRS,Shares,Real Estate,Real Estate ,42892,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ALF,ALTERNATIVE LIQUIDITY FUND LIMITED,ORD USD0.01,GG00BYRGPD65,SHRS,Shares,Financials,Financial Services ,42264,Guernsey,USD,MAIN MARKET - SFS,,SFM2,SFQQ
ALT,ALTITUDE GROUP PLC,ORD 0.4P,GB00B0LSFV82,SHRS,Shares,Technology,Technology,38979,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ALS,ALTUS STRATEGIES PLC,ORD 5P,GB00BJ9TYB96,SHRS,Shares,Basic Materials,Basic Resources,43885,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ALTN,ALTYNGOLD PLC,ORD 10P,GB00BMH19X50,SHRS,Shares,Basic Materials,Basic Resources,44158,United Kingdom,GBX,MAIN MARKET,Standard Shares,SET3,ON15
ALU,ALUMASC GROUP PLC,ORD 12.5P,GB0000280353,SHRS,Shares,Industrials,Construction and Materials,36571,United Kingdom,GBX,AIM,,ASQ1,AMQ1
78QZ,ALUMINIUM BAHRAIN B.S.C.,GDR (EACH REPR 1/5 ORD) (144A),US0222081020,DPRS,Depositary receipts,Basic Materials,Basic Resources,40512,Bahrain,USD,MAIN MARKET,Standard GDRs,MISC,INTM
ALBH,ALUMINIUM BAHRAIN B.S.C.,GDR (EACH REPR 1/5 ORD) (REG S),US0222082010,DPRS,Depositary receipts,Basic Materials,Basic Resources,40512,Bahrain,USD,MAIN MARKET,Standard GDRs,IOBE,LLHE
DISH,AMALA FOODS PLC,ORD NPV,JE00BG12QT70,SHRS,Shares,Technology,Technology,43314,Jersey,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
AMAT,AMATI AIM VCT PLC,ORD 5P,GB00B641BB82,SHRS,Shares,Financials,Financial Services ,40858,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AA4,AMEDEO AIR FOUR PLUS LIMITED,RED ORD NPV,GG00BKY41C61,SHRS,Shares,Industrials,Industrial Goods and Services,44102,Guernsey,GBX,MAIN MARKET - SFS,,SFM2,SFQQ
87SD,AMER GROUP HOLDING COMPANY S.A.E,GDR (EACH REPR 200 ORD) (144A),US0235111087,DPRS,Depositary receipts,Real Estate,Real Estate ,43014,Egypt,USD,ADMISSION TO TRADING ONLY,,MISC,INAD
AMGR,AMER GROUP HOLDING COMPANY S.A.E,GDR (EACH REPR 200 ORD) (REG S),US0235113067,DPRS,Depositary receipts,Real Estate,Real Estate ,43409,Egypt,USD,ADMISSION TO TRADING ONLY,,IOBU,INLN
AFS,AMIAD WATER SYSTEMS LTD,ORD ILS0.5,IL0010943905,SHRS,Shares,Utilities,Utilities,38691,Israel,GBX,AIM,,ASX1,AIMP
AMGO,AMIGO HOLDINGS PLC,ORD 0.25P,GB00BFFK8T45,SHRS,Shares,Financials,Financial Services ,43280,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
AEX,AMINEX PLC,ORD EUR0.001 (CDI),IE0003073255,SHRS,Shares,Energy,Energy,35324,Ireland,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
AMO,AMINO TECHNOLOGIES PLC,ORD 1P,GB00B013SN63,SHRS,Shares,Telecommunications,Telecommunications,38705,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AMYT,AMRYT PHARMA PLC,ORD 6P,GB00BKLTQ412,SHRS,Shares,Health Care ,Health Care  ,43733,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AMTE,AMTE POWER PLC,ORD 0.5P,GB00BNQRZZ55,SHRS,Shares,Industrials,Industrial Goods and Services,44267,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ANRJ,AMUNDI ETF,AMUNDI ETF MSCI EUROPE ENERGY UCITS ETF,FR0010930644,ETFS,ETFs,Financials,Financial Services ,40701,France,GBX,MAIN MARKET,,ETFS,ETEU
CB5,AMUNDI ETF,AMUNDI ETF MSCI EUROPE BANKS UCITS ETF,FR0010688176,ETFS,ETFs,Financials,Financial Services ,40701,France,GBX,MAIN MARKET,,ETFS,ETEU
CG1,AMUNDI ETF,AMUNDI ETF DAX UCITS ETF DR,FR0010655712,ETFS,ETFs,Financials,Financial Services ,40672,France,GBX,MAIN MARKET,,ETFS,ETEU
CH5,AMUNDI ETF,AMUNDI ETF MSCI EUROPE HEALTHCARE,FR0010688192,ETFS,ETFs,Financials,Financial Services ,40701,France,GBX,MAIN MARKET,,ETFS,ETEU
CS1,AMUNDI ETF,AMUNDI ETF MSCI SPAIN UCITS ETF,FR0010655746,ETFS,ETFs,Financials,Financial Services ,40672,France,GBX,MAIN MARKET,,ETFS,ETEU
CUK,AMUNDI ETF,AMUNDI ETF MSCI UK UCITS ETF,FR0010655761,ETFS,ETFs,Financials,Financial Services ,40672,France,GBX,MAIN MARKET,,ETFS,ETEU
500G,AMUNDI INDEX SOLUTIONS,AMUNDI S&P 500,LU1681049018,ETFS,ETFs,,,43181,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
500U,AMUNDI INDEX SOLUTIONS,AMUNDI S&P 500,LU1681049018,ETFS,ETFs,,,43181,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
AASG,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI EM ASIA,LU1681044563,ETFS,ETFs,,,43181,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
AASU,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI EM ASIA,LU1681044563,ETFS,ETFs,,,43181,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
AEMD,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EMERGING MARKETS DR,LU1737652583,ETFS,ETFs,,,43599,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
AEME,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EMERGING MARKETS,LU1437017350,ETFS,ETFs,,,44229,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
AEMU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EM UCITS ETF DR - USD,LU2277591868,ETFS,ETFs,,,44243,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
AEXK,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI EUROPE EX UK,LU1681043326,ETFS,ETFs,,,43181,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
ALAG,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI EM LATIN AMERICA,LU1681045297,ETFS,ETFs,,,43181,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
ALAU,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI EM LATIN AMERICA,LU1681045297,ETFS,ETFs,,,43181,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
ANXG,AMUNDI INDEX SOLUTIONS,AMUNDI NASDAQ-100,LU1681038326,ETFS,ETFs,,,43208,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
ANXU,AMUNDI INDEX SOLUTIONS,AMUNDI NASDAQ-100,LU1681038326,ETFS,ETFs,,,43208,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
AUEG,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI EMERGING MARKETS,LU1681045453,ETFS,ETFs,,,43208,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
AUEM,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI EMERGING MARKETS,LU1681045453,ETFS,ETFs,,,43208,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
BRZ,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI BRAZIL UCITS ETF,LU1437024992,ETFS,ETFs,,,42717,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
BYBG,AMUNDI INDEX SOLUTIONS,AMUNDI S&P 500 BUYBACK,LU1681048556,ETFS,ETFs,,,43131,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
BYBU,AMUNDI INDEX SOLUTIONS,AMUNDI S&P 500 BUYBACK,LU1681048556,ETFS,ETFs,,,43131,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
C50U,AMUNDI INDEX SOLUTIONS,AMUNDI EURO STOXX 50,LU1681047400,ETFS,ETFs,,,44229,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
CC1G,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI CHINA,LU1681044050,ETFS,ETFs,,,43208,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
CC1U,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI CHINA,LU1681044050,ETFS,ETFs,,,43208,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
